,bm25,tfidf,jmsmoothing,tfidf_stopping,jmsmoothing_stopping,Lucene,bm25_query_enrichment,bm25_stopping
23,0.18143812709030105,0.1688963210702341,0.17558528428093645,0.18561872909698998,0.19397993311036787,0.18979933110367897,0.20986622073578595,0.19816053511705684
24,0.1778846153846154,0.1618589743589744,0.1706730769230769,0.18189102564102566,0.19070512820512817,0.18269230769230765,0.20352564102564102,0.19230769230769226
25,0.1723076923076923,0.15923076923076926,0.16615384615384615,0.17769230769230765,0.18692307692307691,0.18,0.19846153846153844,0.1892307692307692
26,0.16715976331360946,0.15384615384615385,0.16124260355029582,0.17529585798816566,0.1812130177514793,0.17751479289940827,0.19748520710059173,0.18713017751479286
27,0.16381766381766383,0.15170940170940173,0.1566951566951567,0.17236467236467237,0.17877492877492876,0.17450142450142447,0.1944444444444444,0.18304843304843305
28,0.1607142857142857,0.14835164835164838,0.154532967032967,0.16895604395604394,0.1737637362637362,0.17239010989010992,0.19093406593406595,0.17994505494505494
29,0.15981432360742703,0.14655172413793102,0.15119363395225466,0.16578249336870024,0.16976127320954906,0.16976127320954906,0.1883289124668435,0.17639257294429708
30,0.15576923076923077,0.14358974358974358,0.1480769230769231,0.1608974358974359,0.16858974358974357,0.16730769230769232,0.18717948717948715,0.17179487179487177
31,0.15260545905707193,0.13895781637717122,0.14516129032258063,0.16004962779156326,0.16439205955334987,0.16377171215880895,0.18424317617866007,0.16997518610421838
32,0.1502403846153846,0.13701923076923078,0.14122596153846154,0.15865384615384615,0.16346153846153846,0.16105769230769232,0.18088942307692307,0.16826923076923078
33,0.14685314685314682,0.13519813519813517,0.13986013986013984,0.15617715617715616,0.15909090909090906,0.15792540792540793,0.17657342657342662,0.16491841491841497
34,0.1430995475113122,0.1340497737556561,0.13687782805429866,0.15497737556561086,0.1555429864253393,0.1561085972850679,0.17364253393665158,0.16176470588235292
