,bm25,tfidf,jmsmoothing,tfidf_stopping,jmsmoothing_stopping,Lucene,bm25_query_enrichment,bm25_stopping
1,0.5180000000000009,0.7199999999999989,0.5639999999999992,0.7259999999999988,0.6379999999999991,0.5459999999999998,0.6179999999999991,0.5180000000000008
2,0.99,0.9733333333333333,0.99,0.99,0.99,0.99,0.99,0.99
3,0.30333333333333334,0.30833333333333335,0.32333333333333336,0.23499999999999982,0.18500000000000016,0.2316666666666667,0.0,0.19
4,0.2458333333333333,0.15999999999999984,0.15916666666666646,0.2441666666666668,0.27833333333333365,0.2366666666666665,0.2524999999999998,0.2983333333333332
5,0.34125,0.39875,0.44875,0.3725,0.4125,0.40125,0.38625,0.25375
6,0.8666666666666667,0.7433333333333332,0.6233333333333325,0.8966666666666666,0.8333333333333335,0.85,0.77,0.91
7,0.24214285714285752,0.28500000000000053,0.3214285714285714,0.3042857142857147,0.33428571428571424,0.2803571428571435,0.1821428571428573,0.2342857142857146
8,0.6933333333333329,0.8,0.6866666666666659,0.8866666666666667,0.7699999999999999,0.8566666666666667,0.8733333333333334,0.6999999999999997
9,0.5311111111111108,0.6577777777777771,0.5811111111111111,0.6577777777777772,0.6044444444444441,0.6555555555555549,0.4700000000000003,0.5299999999999997
10,0.3962857142857139,0.4225714285714284,0.4071428571428571,0.40342857142857125,0.3908571428571421,0.4171428571428563,0.4265714285714285,0.39514285714285685
11,0.4121052631578952,0.4042105263157897,0.3826315789473685,0.41947368421052644,0.3994736842105267,0.5173684210526306,0.4731578947368428,0.4289473684210531
12,0.7059999999999989,0.693999999999999,0.693999999999999,0.693999999999999,0.693999999999999,0.6319999999999991,0.5360000000000001,0.7059999999999989
13,0.5427272727272716,0.4445454545454551,0.4572727272727274,0.5009090909090902,0.5327272727272717,0.5127272727272719,0.5481818181818171,0.5527272727272716
14,0.13545454545454547,0.09977272727272739,0.11704545454545451,0.11431818181818185,0.14863636363636354,0.10545454545454545,0.10000000000000007,0.17613636363636365
15,0.35199999999999937,0.27299999999999985,0.3289999999999995,0.34299999999999997,0.3919999999999998,0.3659999999999997,0.3809999999999999,0.40000000000000013
16,0.30764705882352894,0.2299999999999999,0.26235294117647034,0.3088235294117642,0.3147058823529407,0.19117647058823514,0.45529411764705974,0.34235294117647014
17,0.3925,0.29625,0.32625,0.315,0.358125,0.348125,0.46875,0.370625
18,0.3372727272727273,0.32090909090909037,0.2954545454545457,0.3045454545454542,0.2518181818181818,0.29636363636363616,0.3618181818181812,0.3299999999999999
19,0.5290909090909098,0.505454545454545,0.517272727272728,0.505454545454545,0.517272727272728,0.5490909090909082,0.5036363636363635,0.5290909090909098
20,0.6633333333333326,0.6633333333333326,0.6633333333333326,0.6633333333333326,0.6633333333333326,0.9866666666666666,0.8600000000000001,0.6633333333333326
21,0.29636363636363616,0.30454545454545434,0.29636363636363616,0.31909090909090887,0.31181818181818155,0.407272727272727,0.3399999999999996,0.29636363636363616
22,0.4941176470588237,0.22588235294117642,0.20294117647058824,0.46647058823529447,0.5735294117647053,0.7747058823529405,0.7111764705882344,0.5776470588235288
23,0.9775,0.7575,0.87,0.845,0.94,0.925,0.9225,0.9775
24,0.16538461538461513,0.18384615384615347,0.1707692307692305,0.18384615384615347,0.1707692307692305,0.17692307692307663,0.11307692307692303,0.16538461538461513
25,0.28215686274509777,0.2807843137254899,0.2786274509803918,0.2786274509803918,0.26941176470588213,0.2660784313725488,0.3388235294117644,0.2815686274509801
26,0.2433333333333332,0.23533333333333328,0.22400000000000003,0.25266666666666654,0.2610000000000002,0.2353333333333333,0.28733333333333305,0.24833333333333318
27,0.3610344827586202,0.345862068965517,0.339655172413793,0.345862068965517,0.33999999999999986,0.36517241379310333,0.4213793103448276,0.36379310344827537
28,0.7859999999999985,0.7859999999999985,0.7739999999999987,0.7879999999999986,0.7839999999999985,0.7839999999999985,0.8439999999999993,0.7859999999999985
29,0.5536842105263147,0.29736842105263134,0.4952631578947363,0.3873684210526314,0.5199999999999988,0.47947368421052694,0.5352631578947363,0.553157894736841
30,0.2075,0.4625,0.44,0.4925,0.49,0.3825,0.155,0.25
31,0.945,0.845,0.73,0.92,0.855,0.77,0.93,0.955
32,0.423333333333333,0.5866666666666659,0.5933333333333325,0.5533333333333327,0.48666666666666636,0.6499999999999991,0.40666666666666634,0.3999999999999996
33,0.0,0.57,0.77,0.88,0.82,0.62,0.87,0.88
