,bm25,tfidf,jmsmoothing,tfidf_stopping,jmsmoothing_stopping,Lucene,bm25_query_enrichment,bm25_stopping
1,0.07527255895806757,0.11206662335218479,0.08976027445680648,0.11167607354251734,0.09495725764573962,0.07865950305619145,0.07051336872554491,0.06442963696954676
2,0.1306213255291886,0.11612132552918862,0.1306213255291886,0.1306213255291886,0.1306213255291886,0.1306213255291886,0.1306213255291886,0.1306213255291886
3,0.028041686575049015,0.031290219613290024,0.031119058489039744,0.025014943172211604,0.01841210723163505,0.02074495875258683,0.0,0.022623825551476986
4,0.07516635913321891,0.05444236285396853,0.06656897892422094,0.08574319227189095,0.11260583096194483,0.09320687669862363,0.06714996771344979,0.08355342922833983
5,0.0879718532584157,0.10120794058761136,0.10030565392454134,0.10393730376365028,0.0995435606987252,0.09431395298180759,0.07455830053480061,0.09415369405363423
6,0.08554240022790884,0.08265211288238533,0.06271544357068559,0.08837342466333442,0.0728538974627052,0.07114954308505173,0.07734908315879756,0.09286174375165349
7,0.19817989863617225,0.25446041059965185,0.2677874554713517,0.27721392513151827,0.2881634278887363,0.24630158197407914,0.1091220040054338,0.19475626336023988
8,0.07493442595762662,0.09099786005153172,0.08957703373863947,0.09701554024149002,0.08954372185343626,0.08475256180649149,0.06369948451330736,0.07342547929136818
9,0.13945888000124465,0.13662885347466117,0.12951701309081398,0.14049059187764731,0.13269920874039692,0.13186840876251954,0.10663206685923074,0.1389033244456891
10,0.3753814861346315,0.3773813781477491,0.37012617726218844,0.3725196622398155,0.3566966796939534,0.3884284716006184,0.3990432066738437,0.3725446264572721
11,0.25141631010419,0.23269036846594307,0.22896276745881297,0.22797982091674496,0.23081974998117985,0.2710465145076971,0.23581317819450084,0.24909097249794257
12,0.12288193188042239,0.120463808538386,0.11309164234875352,0.120463808538386,0.11309164234875352,0.10346669424879178,0.08245372995143668,0.12288193188042239
13,0.18955683065295678,0.12838716396348315,0.16313147242833892,0.15027545435248674,0.17489468832109678,0.17705234097016775,0.18491242734642643,0.1912789773920046
